Abbr,Skraćeno,
About,O,
Academics User,Akademski korisnik,
Accepted,Prihvaćeno,
Account,Račun,
Account Head,Analitički račun,
Accounting,Računovodstvo,
Accounting Details,Računovodstveni detalji,
Accounting Dimensions,Računovodstvene dimenzije,
Accounts,Računi,
Action,Radnja,
Active,Aktivan,
Activities,Aktivnosti,
Actual Cost,Stvarni trošak,
Added On,Datum dodavanja,
Advance Account,Avansni račun,
Advance Amount,Avansni iznos,
Advance Paid,Plaćeni avans,
Advance Payment,Avansna uplata,
Advance Payments,Avansne uplate,
Advances,Avansi,
All,Sve,
Allocated Amount,Raspoređeni iznos,
Allocation,Raspodela,
Amended From,Izmenjeno iz,
Amount,Iznos,
Applicable For,Primenjivo za,
Apps,Aplikacije,
Archived,Arhivirano,
Asset Name,Naziv imovine,
Attachments,Prilozi,
Bank Account,Tekući račun,
Bank Account No,Broj tekućeg računa,
Bank Details,Detalji banke,
Bank Name,Naziv banke,
Begin On (Days),Početak na (dani),
Beginner,Početnik,
Blue,Plava,
Body,Poruka,
Branch,Filijala,
Cancelled,Otkazano,
Change,Promena,
Clearance Date,Datum kliringa,
Closed,Zatvoreno,
Color,Boja,
Comments,Komentari,
Company,Kompanija,
Company Details,Detalji kompanije,
Completed,Završeno,
Completed On,Završeno na,
Component,Komponenta,
Condition,Uslov,
Conditions,Uslovi,
Connections,Konekcije,
Contact Email,Kontakt imejl,
Contact No.,Kontakt br.,
Cost,Trošak,
Cost Center,Troškovni centar,
Cost Centers,Troškovni centri,
Costing,Obračun troškova,
Costing Details,Detalji obračuna troškova,
Country,Država,
Criteria,Kriterijum,
Currency,Valuta,
Current,Trenutno,
Cyan,Cijan,
Daily,Dnevno,
Dashboard,Kontrolna tabla,
Date,Datum,
Date ,Datum ,
Date of Birth,Datum rođenja,
Date of Joining,Datum pridruživanja,
Default Account,Podrazumevani račun,
Deferred Expense Account,Račun razgraničenih rashoda,
Delivery Trip,Ruta isporuke,
Department,Odeljenje,
Description,Opis,
Designation,Uloga,
Details,Detalji,
Disable,Onemogući,
Disable Rounded Total,Onemogući zaokruženi ukupni iznos,
Disabled,Onemogućeno,
Download Template,Preuzmi šablon,
Draft,Nacrt,
Duration (Days),Trajanje (dani),
Email,Imejl,
Email Address,Imejl adresa,
Email ID,Imejl ID,
Email Template,Imejl šablon,
Employee,Zaposleno lice,
Employee Advance,Avans zaposlenog lica,
Employee Name,Ime zaposlenog lica,
Employee Number,Broj zaposlenog lica,
Employees,Zaposlena lica,
Enabled,Omogućeno,
Encashment Date,Datum unovčenja,
End Date,Datum završetka,
End Time,Vreme završetka,
Error Message,Poruka o grešci,
Exchange Rate,Devizni kurs,
Expense,Trošak,
Expense Account,Račun rashoda,
Expense Claim,Zahtev za trošak,
Expenses,Troškovi,
Expired,Isteklo,
Failed,Neuspešno,
Feedback,Povratna informacija,
Field Name,Naziv polja,
Filter List,Filter liste,
Filters,FIlteri,
Fleet Manager,Menadžer flote,
Frappe Support,Frappe podrška,
Frequency,Učestalost,
From Date,Datum početka,
From Employee,Od zaposlenog lica,
From Time,Vreme početka,
From User,Od korisnika,
Full Name,Ime i prezime,
Full and Final Statement,Konačni obračun,
Geolocation,Geolokacija,
Goal,Cilj,
Goals,Ciljevi,
Grand Total,Ukupno,
Green,Zelena,
HR Manager,HR Menadžer,
HR User,HR Korisnik,
Half Yearly,Polugodišnji,
Half-Yearly,Polugodišnji,
Help,Pomoć,
Hold,Stavi na čekanje,
Holiday List,Lista praznika,
Holidays,Praznici,
Hour Rate,Cena po času,
Hours,Časovi,
Import Log,Evidencija uvoza podataka,
In Process,U procesu,
In Progress,U toku,
Inactive,Neaktivan,
Interest,Kamata,
Intermediate,Srednje,
Introduction,Uvod,
Invalid,Nevažeće,
Is Active,Aktivno,
Is Default,Podrazumevano,
Is Group,Grupa,
Is Mandatory,Obavezno,
Is Paid,Plaćeno,
Job Title,Naziv posla,
Journal Entry,Nalog knjiženja,
Keyboard Shortcuts,Prečice na tastaturi,
Last Name,Prezime,
Latitude,Geografska širina,
Left,Levo,
Letter Head,Zaglavlje,
Level,Nivo,
License Plate,Broj registarske oznake,
Loan,Zajam,
Location,Lokacija,
Location Name,Naziv lokacije,
Log out,Odjavite se,
Longitude,Geografska dužina,
Make,Napraviti,
Manual,Ručno,
Message,Poruka,
Mode Of Payment,Način plaćanja,
Mode of Payment,Način plaćanja,
Model,Model,
Month,Mesec,
Monthly,Mesečno,
More Info,Više informacija,
Name,Ime,
Naming Series,Serija imenovanja,
New,Novi,
New Company,Nova kompanija,
No,Ne,
Not Started,Nije započeto,
Notes,Napomene,
Offer Date,Datum ponude,
Old Parent,Matična grupa,
On Hold,Na čekanju,
Open,Otvoreno,
Orange,Narandžasta,
Other Details,Ostali detalji,
Other Settings,Ostala podešavanja,
Overview,Pregled,
Owned,Vlasništvo,
Paid,Plaćeno,
Paid Amount,Plaćeni iznos,
Passport Number,Broj pasoša,
Payable Account,Račun obaveza,
Payables,Obaveze,
Payment Account,Račun za plaćanje,
Payment Entry,Unos uplate,
Payroll Entry,Unos obračuna zarade,
Pending,Na čekanju,
Pending Amount,Iznos na čekanju,
Percent,Procenat,
Percentage (%),Procenat (%),
Phone Number,Broj telefona,
Pink,Roze,
Posting Date,Datum knjiženja,
Print Heading,Naslov štampe,
Printing Details,Detalji štampanja,
Progress,Napredak,
Project,Projekat,
Property,Svojstvo,
Purpose,Svrha,
Quarterly,Kvartalno,
Queued,U redu,
Raised By,Pokrenuto od strane,
Rate,Jedinična cena,
Rating,Ocena,
Read,Pročitano,
Reason,Razlog,
Receivables,Potraživanja,
Red,Crveno,
Reference,Referenca,
Reference Document,Referentni dokument,
Reference Document Name,Naziv referentnog dokumenta,
Reference Document Type,Vrsta referentnog dokumenta,
References,Reference,
Referrer,Izvor pristupa,
Rejected,Odbijeno,
Relieving Date,Datum razduženja,
Reload,Ponovno učitavanje,
Remark,Napomena,
Remarks,Napomene,
Reminder,Podsetnik,
Replied,Odgovoreno,
Resignation Letter Date,Datum pisma o ostavci,
Resolution Date,Datum rezolucije,
Resolution Details,Detalji rezolucije,
Resolved,Rešeno,
Resolved By,Rešeno od strane,
Result,Rezultat,
Resume,Biografija,
Return,Povraćaj,
Returned,Vraćeno,
Returned Amount,Vraćeni iznos,
Right,Desno,
Role,Uloga,
Rounded Total,Zaokruženi ukupni iznos,
Rounded Total (Company Currency),Zaokruženi ukupni iznos (valuta kompanije),
Route,Putanja,
Rules,Pravila,
Salary,Zarada,
Salary Currency,Valuta zarade,
Scheduled,Zakazano,
Select Employees,Izaberite zaposlena lica,
Sender,Pošiljalac,
Sender Email,Imejl pošiljaoca,
Sent,Poslato,
Series,Serija,
Service,Usluga,
Service Item,Uslužna stavka,
Session Defaults,Podrazumevane vrednosti sesije,
Settings,Podešavanja,
Settled,Poravnato,
Shift,Promena,
Slack,Slack,
Source,Izvor,
Source Name,Naziv izvora,
Start Date,Datum početka,
Start Time,Vreme početka,
Status,Status,
Subject,Naslov,
Submitted,Podneto,
Supplier,Dobavljač,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Task,Zadatak,
Task Weight,Težina zadatka,
Template Name,Naziv šablona,
Terms,Uslovi,
Terms and Conditions,Uslovi i odredbe,
Time,Vreme,
Time Sheet,Evidencija vremena,
Title,Naslov,
To Date,Datum završetka,
To Time,Vreme završetka,
To User,Za korisnika,
Toggle Full Width,Prebaci u punu širinu,
Toggle Theme,Promeni temu,
Total,Ukupno,
Total Amount,Ukupan iznos,
Total Taxes and Charges,Ukupno poreza i taksi,
Total Working Hours,Ukupno radnih sati,
Totals,Ukupno,
Transaction Date,Datum transakcije,
Transaction Name,Naziv transakcije,
Transaction Type,Vrsta transakcije,
Type,Vrsta,
